ID,x,y,Smax,DSmax,Kσ,Dσmax,Aσ,Hf,Kw,Bf,Af,ODI,ODI_pred,ODI_diff
BJ62,495204.715,5403602.36025,49.28450487319127,35.11125519342624,49.884619173708614,21.406153704838164,64.53566702506073,172.53223713862732,43.82023849169186,142.2990072567315,35.14411580129725,0.20536525544997183,0.20532759206817897,3.766338179286843e-05
BJ63,495204.715,5403576.8205,48.711481040985205,34.79694239783622,49.29382567616026,21.266946564980135,64.05152140332501,171.72083585071564,43.38577146395701,141.59900848756504,34.77482115647151,0.19863046794034575,0.19859309339640108,3.7374543944673766e-05
BJ64,495204.715,5403551.28075,48.13798889808652,34.48406763731784,48.702387833251485,21.12952973902265,63.57161721771967,170.92997911330602,42.95229778393155,140.9153861107641,34.40592322338902,0.19195403238896006,0.19191694418029714,3.708820866291096e-05
BJ65,495204.715,5403525.741,47.56402883409221,34.1726297156208,48.11030618101844,20.993901737657477,63.095950939927654,170.1596498359753,42.51981662529316,140.2481265032789,34.03742167205021,0.1853359002546623,0.18529909588079618,3.680437386610613e-05
BJ66,495204.715,5403525.741,47.56402883409221,34.1726297156208,48.11030618101844,20.993901737657477,63.095950939927654,170.1596498359753,42.51981662529316,140.2481265032789,34.03742167205021,0.1853359002546623,0.18529909588079618,3.680437386610613e-05
BJ67,495179.67042,5403525.746,47.65203304131924,34.172331867608946,48.20490623899202,20.9624399832416,63.0412445161287,169.68456013787872,42.54802662047554,139.8762860438155,34.07437406558694,0.1845660360971917,0.18452926474083453,3.6771356357157003e-05
BJ68,495154.62584,5403525.751,47.74047849293589,34.17067909655862,48.30011340199967,20.92929138711848,62.98254179236673,169.19011327309963,42.575300679020636,139.48901567476665,34.11095267554389,0.18374119246545786,0.18370445648453904,3.673598091882835e-05
BJ69,495129.58126,5403525.756,47.829367096355966,34.16766554552936,48.395930294426236,20.894448657543595,62.919825493765266,168.67622556597615,42.601634755158486,139.08624869691673,34.147155886180286,0.18286113169871945,0.1828244334613608,3.669823735866218e-05
BJ70,495104.53668,5403525.761,47.918700140732426,34.16328725581363,48.49235869001998,20.857906866050524,62.853083944275724,168.14284046048016,42.627026114330135,138.66794002854095,34.18298260538785,0.18192569316263144,0.18188903504384424,3.665811878719727e-05
BJ71,495079.4921,5403525.766,48.0084785280572,34.15754145766931,48.589399829825936,20.819662564387922,62.78230897463857,167.5899183865853,42.65147284328725,138.23405812773325,34.218432069074765,0.18093476446783377,0.18089814884744937,3.661562038440036e-05
